"","X","site","site_ID","YYYYMMDD_sed","year","n_surv1","n_surv2","dens_surv1","dens_surv2","avg_density","sd_density","dissolved_02_mg.l_surface","dissolved_02_percent_surface","specific_conductivity_surface","salinity_ppt_surface","temperature_C_surface","dissolved_02_mg.l_transect","dissolved_02_percent_transect","specific_conductivity_transect","salinity_ppt_transect","temperature_C_transect","avg_shoot","sd_shoot","avg_flowering","sd_flowering","date","juli_date","SALCHIN","SALCHUM","SALCOHO","SALPINK","SALSOCK","abundance","dist_anad_km","avg_biom_site_gm2","habitat","latitude","longitude","trans_type","sed1_avg","sed2_avg","sed1_sd","sed2_sd","length_anad_km"
"61",61,"Port Refugio","REFU_A","2017-08-22",2017,1,0,0.198412698,0,0.099206349,0.140298965,8.73,90.7,26119,16.2,12.8,8.2,92.6,45618,29.4,12.6,334.5,123.5279032,0.5,1.414213562,"2017-08-26",238,0,0,0,0,0,0,0.483353765439,62.7653,"eelgrass",55.282137,-133.334028,"Edge",4,6.8,1.05409255338946,0.632455532033676,0.541184715752065
"62",62,"Port Refugio","REFU_A","2017-08-22",2017,1,0,0.198412698,0,0.099206349,0.140298965,8.73,90.7,26119,16.2,12.8,8.2,92.6,45618,29.4,12.6,334.5,123.5279032,0.5,1.414213562,"2017-08-26",238,0,0,0,0,0,0,0.483353765439,62.7653,"eelgrass",55.282137,-133.334028,"Inside",3.4,5.1,1.34989711542111,2.07899548393502,0.541184715752065
"63",63,"Port Refugio","REFU_A","2017-08-22",2017,1,0,0.198412698,0,0.099206349,0.140298965,8.73,90.7,26119,16.2,12.8,8.2,92.6,45618,29.4,12.6,334.5,123.5279032,0.5,1.414213562,"2017-08-26",238,0,0,0,0,0,0,0.483353765439,62.7653,"eelgrass",55.282137,-133.334028,"Outside",4.4,6.6,1.64654520469713,0.843274042711568,0.541184715752065
"64",64,"Baker Island - eel","BAKE_A","2019-06-18",2019,18,28,3.122289679,4.856895056,3.989592368,1.226551225,10.02,108.2,39068,26.4,12.3,9.8,108,50436,32.9,10.4,883.2,287.3242071,0,0,"2019-06-18",169,0,86,0,0,0,86,1.57186725028,253.092243880059,"eelgrass",55.3575,-133.5869444,"Edge",4,4.8,0,1.78885438199983,1.81073957573422
"65",65,"Baker Island - eel","BAKE_A","2019-06-18",2019,18,28,3.122289679,4.856895056,3.989592368,1.226551225,10.02,108.2,39068,26.4,12.3,9.8,108,50436,32.9,10.4,883.2,287.3242071,0,0,"2019-06-18",169,0,86,0,0,0,86,1.57186725028,253.092243880059,"eelgrass",55.3575,-133.5869444,"Inside",4,3,0,0,1.81073957573422
"66",66,"Baker Island - eel","BAKE_A","2019-06-18",2019,18,28,3.122289679,4.856895056,3.989592368,1.226551225,10.02,108.2,39068,26.4,12.3,9.8,108,50436,32.9,10.4,883.2,287.3242071,0,0,"2019-06-18",169,0,86,0,0,0,86,1.57186725028,253.092243880059,"eelgrass",55.3575,-133.5869444,"Outside",4,4,0,0,1.81073957573422
"67",67,"Chusini Cove","CHUS_B","2019-05-08",2019,96,78,6.588881263,5.353466026,5.971173644,0.873570492,11.42,128.6,48435,31.6,12,11.8,134.6,48667,31.7,11.8,340,75.09993342,0,0,"2019-05-08",128,0,9,18,8,3,38,1.34737229983,26.5796488856871,"eelgrass",55.81849,-133.1794,"Edge",4,3,0,0,1.51719513481426
"68",68,"Chusini Cove","CHUS_B","2019-05-08",2019,96,78,6.588881263,5.353466026,5.971173644,0.873570492,11.42,128.6,48435,31.6,12,11.8,134.6,48667,31.7,11.8,340,75.09993342,0,0,"2019-05-08",128,0,9,18,8,3,38,1.34737229983,26.5796488856871,"eelgrass",55.81849,-133.1794,"Inside",3,1,0,0,1.51719513481426
"69",69,"Chusini Cove","CHUS_B","2019-05-08",2019,96,78,6.588881263,5.353466026,5.971173644,0.873570492,11.42,128.6,48435,31.6,12,11.8,134.6,48667,31.7,11.8,340,75.09993342,0,0,"2019-05-08",128,0,9,18,8,3,38,1.34737229983,26.5796488856871,"eelgrass",55.81849,-133.1794,"Outside",5,4,0,0,1.51719513481426
"70",70,"Dunbar Inlet","DUNB_A","2019-05-06",2019,2,1,0.226052557,0.113026279,0.169539418,0.079921648,10.49,121.1,47837,31.1,13.1,9.46,107.9,48317,31.4,12.5,475.2,82.19002373,0,0,"2019-05-06",126,0,5,0,0,0,5,1.00415037493,17.1923169497322,"eelgrass",55.0848,-132.826,"Edge",1,1,0,0,0.990182813192193
"71",71,"Dunbar Inlet","DUNB_A","2019-05-06",2019,2,1,0.226052557,0.113026279,0.169539418,0.079921648,10.49,121.1,47837,31.1,13.1,9.46,107.9,48317,31.4,12.5,475.2,82.19002373,0,0,"2019-05-06",126,0,5,0,0,0,5,1.00415037493,17.1923169497322,"eelgrass",55.0848,-132.826,"Inside",2,2,0,0,0.990182813192193
"72",72,"Dunbar Inlet","DUNB_A","2019-05-06",2019,2,1,0.226052557,0.113026279,0.169539418,0.079921648,10.49,121.1,47837,31.1,13.1,9.46,107.9,48317,31.4,12.5,475.2,82.19002373,0,0,"2019-05-06",126,0,5,0,0,0,5,1.00415037493,17.1923169497322,"eelgrass",55.0848,-132.826,"Outside",3,2,0,0,0.990182813192193
"73",73,"Farallon Bay","FARA_A","2019-05-22",2019,1,0,0.133779264,0,0.066889632,0.094596225,10.42,124.3,49277,32.3,14.4,11.3,135.5,49463,32.3,14.4,248,69.68500556,0,0,"2019-05-22",142,0,128,17,6,0,151,0.278537934996,21.7723033553417,"eelgrass",55.19112,-133.105314,"Edge",4,6.4,0,1.67332005306815,0.277863944078984
"74",74,"Farallon Bay","FARA_A","2019-05-22",2019,1,0,0.133779264,0,0.066889632,0.094596225,10.42,124.3,49277,32.3,14.4,11.3,135.5,49463,32.3,14.4,248,69.68500556,0,0,"2019-05-22",142,0,128,17,6,0,151,0.278537934996,21.7723033553417,"eelgrass",55.19112,-133.105314,"Inside",4,6,0,2,0.277863944078984
"75",75,"Farallon Bay","FARA_A","2019-05-22",2019,1,0,0.133779264,0,0.066889632,0.094596225,10.42,124.3,49277,32.3,14.4,11.3,135.5,49463,32.3,14.4,248,69.68500556,0,0,"2019-05-22",142,0,128,17,6,0,151,0.278537934996,21.7723033553417,"eelgrass",55.19112,-133.105314,"Outside",4,7.2,0,1.09544511501033,0.277863944078984
"76",76,"Goats mouth inlet","GOAT_A","2019-04-23",2019,2,1,0.484554815,0.242277408,0.363416111,0.171315998,10.44,119.5,48466,31.6,12.5,9.6,109.3,48230,31.4,12.5,312.8,53.24659614,0,0,"2019-04-23",113,0,0,0,0,0,0,2.57905023721,27.9572249708545,"eelgrass",55.192784,-132.900113,"Edge",3.4,5.8,0.894427190999916,2.58843582110896,5.28586769764362
"77",77,"Goats mouth inlet","GOAT_A","2019-06-17",2019,2,1,0.484554815,0.242277408,0.363416111,0.171315998,10.44,119.5,48466,31.6,12.5,9.6,109.3,48230,31.4,12.5,312.8,53.24659614,0,0,"2019-04-23",113,0,0,0,0,0,0,2.57905023721,27.9572249708545,"eelgrass",55.192784,-132.900113,"Inside",4.6,4,0.547722557505166,0,5.28586769764362
"78",78,"Goats mouth inlet","GOAT_A","2019-04-23",2019,2,1,0.484554815,0.242277408,0.363416111,0.171315998,10.44,119.5,48466,31.6,12.5,9.6,109.3,48230,31.4,12.5,312.8,53.24659614,0,0,"2019-04-23",113,0,0,0,0,0,0,2.57905023721,27.9572249708545,"eelgrass",55.192784,-132.900113,"Outside",3.8,5.8,0.447213595499958,0.836660026534076,5.28586769764362
"79",79,"Guktu Bay","GUKT_A","2019-05-18",2019,64,278,7.29136998,31.67188835,19.48162917,17.23962987,11.7,129.3,50080,32.6,10.1,11.65,127.4,50181,32.6,10.1,456.8,136.1587309,0,0,"2019-05-18",138,0,36,1,18,0,55,1.76422151959,86.6285256273495,"eelgrass",55.739816,-133.312022,"Edge",2,1.6,0,0.547722557505166,4.51004860872314
"80",80,"Guktu Bay","GUKT_A","2019-05-18",2019,64,278,7.29136998,31.67188835,19.48162917,17.23962987,11.7,129.3,50080,32.6,10.1,11.65,127.4,50181,32.6,10.1,456.8,136.1587309,0,0,"2019-05-18",138,0,36,1,18,0,55,1.76422151959,86.6285256273495,"eelgrass",55.739816,-133.312022,"Inside",2,1.4,0,0.547722557505166,4.51004860872314
"81",81,"Guktu Bay","GUKT_A","2019-05-18",2019,64,278,7.29136998,31.67188835,19.48162917,17.23962987,11.7,129.3,50080,32.6,10.1,11.65,127.4,50181,32.6,10.1,456.8,136.1587309,0,0,"2019-05-18",138,0,36,1,18,0,55,1.76422151959,86.6285256273495,"eelgrass",55.739816,-133.312022,"Outside",4.6,2.6,2.19089023002066,0.894427190999916,4.51004860872314
"82",82,"Heceta","HECA_A","2019-06-15",2019,16,36,3.001876173,6.754221388,4.87804878,2.653308747,10.51,120,46806,30.4,12.8,10.51,119.1,46732,30.3,12.7,207.2,45.55436313,8,8.485281374,"2019-06-15",166,0,22,0,2,0,24,0.966372669349,45.629601423017,"eelgrass",55.77083333,-133.5361111,"Edge",1.2,2.2,0.447213595499958,2.68328157299975,0.850109599490514
"83",83,"Heceta","HECA_A","2019-06-15",2019,16,36,3.001876173,6.754221388,4.87804878,2.653308747,10.51,120,46806,30.4,12.8,10.51,119.1,46732,30.3,12.7,207.2,45.55436313,8,8.485281374,"2019-06-15",166,0,22,0,2,0,24,0.966372669349,45.629601423017,"eelgrass",55.77083333,-133.5361111,"Inside",1.2,2.2,0.447213595499958,2.68328157299975,0.850109599490514
"84",84,"Heceta","HECA_A","2019-06-15",2019,16,36,3.001876173,6.754221388,4.87804878,2.653308747,10.51,120,46806,30.4,12.8,10.51,119.1,46732,30.3,12.7,207.2,45.55436313,8,8.485281374,"2019-06-15",166,0,22,0,2,0,24,0.966372669349,45.629601423017,"eelgrass",55.77083333,-133.5361111,"Outside",1.4,5,0.894427190999916,3.67423461417477,0.850109599490514
"85",85,"Kaguk Cove","KAGK_B","2019-06-06",2019,93,268,13.82899628,39.85130112,26.8401487,18.40054821,12.82,144.2,49739,32.5,11.4,12.95,144.9,49691,32.5,11.7,336.8,82.04389069,4.8,6.57267069,"2019-06-06",157,0,2,4,152,0,158,0.634090752719,81.668714465406,"eelgrass",55.734934,-133.295111,"Edge",3.6,7.2,0.547722557505166,1.78885438199983,0.947264907484595
"86",86,"Kaguk Cove","KAGK_B","2019-06-06",2019,93,268,13.82899628,39.85130112,26.8401487,18.40054821,12.82,144.2,49739,32.5,11.4,12.95,144.9,49691,32.5,11.7,336.8,82.04389069,4.8,6.57267069,"2019-06-06",157,0,2,4,152,0,158,0.634090752719,81.668714465406,"eelgrass",55.734934,-133.295111,"Inside",3,2.4,0,0.894427190999916,0.947264907484595
"87",87,"Kaguk Cove","KAGK_B","2019-06-06",2019,93,268,13.82899628,39.85130112,26.8401487,18.40054821,12.82,144.2,49739,32.5,11.4,12.95,144.9,49691,32.5,11.7,336.8,82.04389069,4.8,6.57267069,"2019-06-06",157,0,2,4,152,0,158,0.634090752719,81.668714465406,"eelgrass",55.734934,-133.295111,"Outside",3.8,4.6,0.447213595499958,1.94935886896179,0.947264907484595
"88",88,"Klawock airport","KLWA_A","2019-05-07",2019,1,4,0.090232348,0.360929393,0.225580871,0.191411716,9.58,108.9,45730,29.6,12.6,10.17,113.2,48100,31.2,11.3,368.8,126.060303,0,0,"2019-05-07",127,0,2,0,2,27,31,0.89483117321,26.9820412568581,"eelgrass",55.577767,-133.0941,"Edge",1,1,0,0,1.48281854964848
"89",89,"Klawock airport","KLWA_A","2019-05-07",2019,1,4,0.090232348,0.360929393,0.225580871,0.191411716,9.58,108.9,45730,29.6,12.6,10.17,113.2,48100,31.2,11.3,368.8,126.060303,0,0,"2019-05-07",127,0,2,0,2,27,31,0.89483117321,26.9820412568581,"eelgrass",55.577767,-133.0941,"Inside",1,1,0,0,1.48281854964848
"90",90,"Klawock airport","KLWA_A","2019-05-07",2019,1,4,0.090232348,0.360929393,0.225580871,0.191411716,9.58,108.9,45730,29.6,12.6,10.17,113.2,48100,31.2,11.3,368.8,126.060303,0,0,"2019-05-07",127,0,2,0,2,27,31,0.89483117321,26.9820412568581,"eelgrass",55.577767,-133.0941,"Outside",1,1.6,0,0.547722557505166,1.48281854964848
"91",91,"Natzuhini Bay","NATZ_C","2019-06-16",2019,0,0,0,0,0,0,10.71,121.2,47614,30.9,12.2,10.23,116.1,47393,30.8,12.3,304,48.74423043,3.2,3.346640106,"2019-06-16",167,0,0,0,0,0,0,1.97502425619,64.7621425191297,"eelgrass",55.247155,-132.879137,"Edge",3,3,0,0,3.0250504001221
"92",92,"Natzuhini Bay","NATZ_C","2019-06-16",2019,0,0,0,0,0,0,10.71,121.2,47614,30.9,12.2,10.23,116.1,47393,30.8,12.3,304,48.74423043,3.2,3.346640106,"2019-06-16",167,0,0,0,0,0,0,1.97502425619,64.7621425191297,"eelgrass",55.247155,-132.879137,"Inside",3,3,0,0,3.0250504001221
"93",93,"Natzuhini Bay","NATZ_C","2019-06-16",2019,0,0,0,0,0,0,10.71,121.2,47614,30.9,12.2,10.23,116.1,47393,30.8,12.3,304,48.74423043,3.2,3.346640106,"2019-06-16",167,0,0,0,0,0,0,1.97502425619,64.7621425191297,"eelgrass",55.247155,-132.879137,"Outside",4,4,0,0,3.0250504001221
"94",94,"Naukati Bay","NAUK_A","2019-05-21",2019,71,28,4.762703337,1.878249203,3.32047627,2.039617078,11.1,126.3,45280,29.3,13,11.3,123.3,43918,28.4,13.1,325.6,75.18510491,0,0,"2019-05-21",141,0,2,0,0,0,2,0.312898055624,31.7037751998261,"eelgrass",55.862405,-133.190722,"Edge",1,1,0,0,2.27047173545727
"95",95,"Naukati Bay","NAUK_A","2019-05-21",2019,71,28,4.762703337,1.878249203,3.32047627,2.039617078,11.1,126.3,45280,29.3,13,11.3,123.3,43918,28.4,13.1,325.6,75.18510491,0,0,"2019-05-21",141,0,2,0,0,0,2,0.312898055624,31.7037751998261,"eelgrass",55.862405,-133.190722,"Inside",3,2,0,0,2.27047173545727
"96",96,"Naukati Bay","NAUK_A","2019-05-21",2019,71,28,4.762703337,1.878249203,3.32047627,2.039617078,11.1,126.3,45280,29.3,13,11.3,123.3,43918,28.4,13.1,325.6,75.18510491,0,0,"2019-05-21",141,0,2,0,0,0,2,0.312898055624,31.7037751998261,"eelgrass",55.862405,-133.190722,"Outside",3.4,2,0.547722557505166,0,2.27047173545727
"97",97,"North Fish Egg Island","NFEI_A","2019-04-19",2019,17,9,0.981524249,0.519630485,0.750577367,0.326608213,12.2,134.6,47524,30.8,11.1,12.14,134,47494,30.8,11.1,831.2,231.2124564,2.4,5.366563146,"2019-04-19",109,0,0,0,0,0,0,2.48273484741,109.312702407258,"eelgrass",55.49709,-133.17,"Edge",2.2,1.6,1.09544511501033,0.547722557505166,2.6609911653847
"98",98,"North Fish Egg Island","NFEI_A","2019-04-19",2019,17,9,0.981524249,0.519630485,0.750577367,0.326608213,12.2,134.6,47524,30.8,11.1,12.14,134,47494,30.8,11.1,831.2,231.2124564,2.4,5.366563146,"2019-04-19",109,0,0,0,0,0,0,2.48273484741,109.312702407258,"eelgrass",55.49709,-133.17,"Inside",1,1.8,0,0.447213595499958,2.6609911653847
"99",99,"North Fish Egg Island","NFEI_A","2019-04-19",2019,17,9,0.981524249,0.519630485,0.750577367,0.326608213,12.2,134.6,47524,30.8,11.1,12.14,134,47494,30.8,11.1,831.2,231.2124564,2.4,5.366563146,"2019-04-19",109,0,0,0,0,0,0,2.48273484741,109.312702407258,"eelgrass",55.49709,-133.17,"Outside",2.8,2.6,0.447213595499958,0.894427190999916,2.6609911653847
"100",100,"North Pass","NPAS_A","2019-05-09",2019,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.8,37.0297178,0,0,"2019-05-09",129,0,4,0,0,0,4,0.167165336959,19.9456080131344,"eelgrass",55.229358,-132.924121,"Edge",3.8,4,0.447213595499958,1.22474487139159,0.241642886365512
"101",101,"North Pass","NPAS_A","2019-05-09",2019,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.8,37.0297178,0,0,"2019-05-09",129,0,4,0,0,0,4,0.167165336959,19.9456080131344,"eelgrass",55.229358,-132.924121,"Inside",3.2,2.8,0.836660026534076,0.836660026534076,0.241642886365512
"102",102,"North Pass","NPAS_A","2019-05-09",2019,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.8,37.0297178,0,0,"2019-05-09",129,0,4,0,0,0,4,0.167165336959,19.9456080131344,"eelgrass",55.229358,-132.924121,"Outside",4.4,4.4,0.547722557505166,1.51657508881031,0.241642886365512
"103",103,"Nossuk Bay","NOSK_E","2019-06-14",2019,18,19,2.804830541,2.96065446,2.882742501,0.11018415,12.98,146.7,49881,32.6,11.7,12.98,146.8,49838,32.5,11.8,305.6,56.18540736,1.6,3.577708764,"2019-04-24",114,0,15,0,0,0,15,0.976488042741,62.7670850776544,"eelgrass",55.70802,-133.34102,"Edge",1,1,0,0,1.25241650196607
"104",104,"Nossuk Bay","NOSK_E","2019-06-14",2019,18,19,2.804830541,2.96065446,2.882742501,0.11018415,12.98,146.7,49881,32.6,11.7,12.98,146.8,49838,32.5,11.8,305.6,56.18540736,1.6,3.577708764,"2019-04-24",114,0,15,0,0,0,15,0.976488042741,62.7670850776544,"eelgrass",55.70802,-133.34102,"Inside",1,1,0,0,1.25241650196607
"105",105,"Nossuk Bay","NOSK_E","2019-06-14",2019,18,19,2.804830541,2.96065446,2.882742501,0.11018415,12.98,146.7,49881,32.6,11.7,12.98,146.8,49838,32.5,11.8,305.6,56.18540736,1.6,3.577708764,"2019-04-24",114,0,15,0,0,0,15,0.976488042741,62.7670850776544,"eelgrass",55.70802,-133.34102,"Outside",1,1,0,0,1.25241650196607
"106",106,"Port Refugio","REFU_A","2019-05-19",2019,0,1,0,0.198412698,0.099206349,0.140298965,9.81,115,49581,32.4,13.7,10.01,118.4,49622,32.3,13.5,408.8,78.14857644,0,0,"2019-05-19",139,0,16,13,1,0,30,0.483353765439,51.0478483586471,"eelgrass",55.282137,-133.334028,"Edge",1,1,0,0,0.541184715752065
"107",107,"Port Refugio","REFU_A","2019-05-19",2019,0,1,0,0.198412698,0.099206349,0.140298965,9.81,115,49581,32.4,13.7,10.01,118.4,49622,32.3,13.5,408.8,78.14857644,0,0,"2019-05-19",139,0,16,13,1,0,30,0.483353765439,51.0478483586471,"eelgrass",55.282137,-133.334028,"Inside",1.4,1,0.547722557505166,0,0.541184715752065
"108",108,"Port Refugio","REFU_A","2019-05-19",2019,0,1,0,0.198412698,0.099206349,0.140298965,9.81,115,49581,32.4,13.7,10.01,118.4,49622,32.3,13.5,408.8,78.14857644,0,0,"2019-05-19",139,0,16,13,1,0,30,0.483353765439,51.0478483586471,"eelgrass",55.282137,-133.334028,"Outside",1,1,0,0,0.541184715752065
"109",109,"Salt Lake Bay","SALA_A","2019-06-02",2019,54,48,6.240970818,5.547529616,5.894250217,0.490336976,9.69,109.1,49851,32.5,11.6,9.59,108.3,49854,32.5,11.6,437.6,113.1582962,0,0,"2019-05-05",125,0,12,0,13,0,25,1.34793251182,47.1394521773706,"eelgrass",55.672389,-133.377184,"Edge",2.6,6,0.547722557505166,0,2.51995195348703
"110",110,"Salt Lake Bay","SALA_A","2019-06-02",2019,54,48,6.240970818,5.547529616,5.894250217,0.490336976,9.69,109.1,49851,32.5,11.6,9.59,108.3,49854,32.5,11.6,437.6,113.1582962,0,0,"2019-05-05",125,0,12,0,13,0,25,1.34793251182,47.1394521773706,"eelgrass",55.672389,-133.377184,"Inside",2,1.2,0,0.447213595499958,2.51995195348703
"111",111,"Salt Lake Bay","SALA_A","2019-05-05",2019,54,48,6.240970818,5.547529616,5.894250217,0.490336976,9.69,109.1,49851,32.5,11.6,9.59,108.3,49854,32.5,11.6,437.6,113.1582962,0,0,"2019-05-05",125,0,12,0,13,0,25,1.34793251182,47.1394521773706,"eelgrass",55.672389,-133.377184,"Outside",7,3.6,0,0.547722557505166,2.51995195348703
"112",112,"Shakan - eel","CALD_A","2019-06-07",2019,42,NA,5.561072493,NA,NA,NA,13.03,145.2,50048,32.1,11.3,13.45,150.1,50197,31.8,11.2,129.6,45.83448483,0,0,"2019-06-07",158,0,3,3,0,0,6,0.762225972687,43.9910706270099,"eelgrass",56.200908,-133.521038,"Edge",1,1,0,0,0.729187781983735
"113",113,"Shakan - eel","CALD_A","2019-06-07",2019,42,NA,5.561072493,NA,NA,NA,13.03,145.2,50048,32.1,11.3,13.45,150.1,50197,31.8,11.2,129.6,45.83448483,0,0,"2019-06-07",158,0,3,3,0,0,6,0.762225972687,43.9910706270099,"eelgrass",56.200908,-133.521038,"Inside",5.6,5.2,3.286335345031,2.58843582110896,0.729187781983735
"114",114,"Shakan - eel","CALD_A","2019-06-07",2019,42,NA,5.561072493,NA,NA,NA,13.03,145.2,50048,32.1,11.3,13.45,150.1,50197,31.8,11.2,129.6,45.83448483,0,0,"2019-06-07",158,0,3,3,0,0,6,0.762225972687,43.9910706270099,"eelgrass",56.200908,-133.521038,"Outside",1,1,0,0,0.729187781983735
"115",115,"Shinaku Inlet","SHIN_A","2019-05-17",2019,88,66,7.391852163,5.543889122,6.467870643,1.306707197,9.74,110.9,48352,31.5,12.5,9.8,112.4,48437,31.5,12.2,264,60.59702963,4.8,7.155417528,"2019-05-17",137,0,2,6,13,0,21,0.647750319158,32.5829773719113,"eelgrass",55.59929,-133.16,"Edge",1,1,0,0,0.772375836509675
"116",116,"Shinaku Inlet","SHIN_A","2019-05-17",2019,88,66,7.391852163,5.543889122,6.467870643,1.306707197,9.74,110.9,48352,31.5,12.5,9.8,112.4,48437,31.5,12.2,264,60.59702963,4.8,7.155417528,"2019-05-17",137,0,2,6,13,0,21,0.647750319158,32.5829773719113,"eelgrass",55.59929,-133.16,"Inside",1,1,0,0,0.772375836509675
"117",117,"Shinaku Inlet","SHIN_A","2019-05-17",2019,88,66,7.391852163,5.543889122,6.467870643,1.306707197,9.74,110.9,48352,31.5,12.5,9.8,112.4,48437,31.5,12.2,264,60.59702963,4.8,7.155417528,"2019-05-17",137,0,2,6,13,0,21,0.647750319158,32.5829773719113,"eelgrass",55.59929,-133.16,"Outside",1,1.4,0,0.894427190999916,0.772375836509675
"118",118,"South Fish Egg Island","SFEI_A","2019-05-20",2019,30,27,1.220504475,1.098454028,1.159479251,0.086302699,10.55,120.6,49118,32,12.4,10.41,119.6,49238,32.1,12.4,1291.2,183.6823345,1.6,3.577708764,"2019-05-20",140,0,0,3,0,0,3,2.60732881762,148.850824763307,"eelgrass",55.48442,-133.17549,"Edge",3,5.4,0,2.40831891575846,3.72265871382502
"119",119,"South Fish Egg Island","SFEI_A","2019-05-20",2019,30,27,1.220504475,1.098454028,1.159479251,0.086302699,10.55,120.6,49118,32,12.4,10.41,119.6,49238,32.1,12.4,1291.2,183.6823345,1.6,3.577708764,"2019-05-20",140,0,0,3,0,0,3,2.60732881762,148.850824763307,"eelgrass",55.48442,-133.17549,"Inside",2,1.4,0,0.547722557505166,3.72265871382502
"120",120,"South Fish Egg Island","SFEI_A","2019-05-20",2019,30,27,1.220504475,1.098454028,1.159479251,0.086302699,10.55,120.6,49118,32,12.4,10.41,119.6,49238,32.1,12.4,1291.2,183.6823345,1.6,3.577708764,"2019-05-20",140,0,0,3,0,0,3,2.60732881762,148.850824763307,"eelgrass",55.48442,-133.17549,"Outside",2.4,5.2,0.547722557505166,3.83405790253616,3.72265871382502
"121",121,"South Wadleigh Island","SWAD_B","2019-05-10",2019,4,2,0.209478921,0.104739461,0.157109191,0.074061983,10.62,118.6,49165,32,11.3,10.4,115.5,49280,32.1,11.1,348,158.719879,0,0,"2019-05-10",130,0,0,0,2,0,2,1.57830936918,26.4683883966262,"eelgrass",55.528672,-133.14864,"Edge",1,1,0,0,2.09834793546153
"122",122,"South Wadleigh Island","SWAD_B","2019-05-10",2019,4,2,0.209478921,0.104739461,0.157109191,0.074061983,10.62,118.6,49165,32,11.3,10.4,115.5,49280,32.1,11.1,348,158.719879,0,0,"2019-05-10",130,0,0,0,2,0,2,1.57830936918,26.4683883966262,"eelgrass",55.528672,-133.14864,"Inside",1,1,0,0,2.09834793546153
"123",123,"South Wadleigh Island","SWAD_B","2019-05-10",2019,4,2,0.209478921,0.104739461,0.157109191,0.074061983,10.62,118.6,49165,32,11.3,10.4,115.5,49280,32.1,11.1,348,158.719879,0,0,"2019-05-10",130,0,0,0,2,0,2,1.57830936918,26.4683883966262,"eelgrass",55.528672,-133.14864,"Outside",1,1,0,0,2.09834793546153
