"","site","collection_date","YYYYMMDD.x","quadrat","avg_biom_per_quad","date","YYYYMMDD.y","depth_m","eelgrass_shoots_0.25msq","flowering_shoots_0.25msq","total_shoots_0.25msq","shoots_1msq","biom_per_quad_0.25msq","biom_msq"
"1","2017_H_01","29/4/17",20170429,1,0.03844,"4/29/2017",20170429,-0.5,54,0,54,216,2.07576,8.30304
"2","2017_H_01","29/4/17",20170429,2,0.0755,"4/29/2017",20170429,-0.5,41,0,41,164,3.0955,12.382
"3","2017_H_01","29/4/17",20170429,3,0.03678,"4/29/2017",20170429,-0.5,59,0,59,236,2.17002,8.68008
"4","2017_H_01","29/4/17",20170429,4,0.03864,"4/29/2017",20170429,-0.5,46,0,46,184,1.77744,7.10976
"5","2017_H_01","29/4/17",20170429,5,0.05504,"4/29/2017",20170429,-0.5,66,0,66,264,3.63264,14.53056
"6","2017_H_01","29/4/17",20170429,6,0.06356,"4/29/2017",20170429,-0.5,60,0,60,240,3.8136,15.2544
"7","2017_H_01","29/4/17",20170429,7,0.04678,"4/29/2017",20170429,-0.5,72,0,72,288,3.36816,13.47264
"8","2017_H_01","29/4/17",20170429,8,0.04086,"4/29/2017",20170429,-0.5,55,0,55,220,2.2473,8.9892
"9","2017_H_02","28/5/17",20170528,1,0.1691,"5/29/2017",20170529,-0.5,42,0,42,168,7.1022,28.4088
"10","2017_H_02","28/5/17",20170528,2,0.1572,"5/29/2017",20170529,-0.5,48,0,48,192,7.5456,30.1824
"11","2017_H_02","28/5/17",20170528,3,0.15592,"5/29/2017",20170529,-0.5,79,0,79,316,12.31768,49.27072
"12","2017_H_02","28/5/17",20170528,4,0.14982,"5/29/2017",20170529,-0.5,48,0,48,192,7.19136,28.76544
"13","2017_H_02","28/5/17",20170528,5,0.1033,"5/29/2017",20170529,-0.5,62,0,62,248,6.40459999999999,25.6184
"14","2017_H_02","28/5/17",20170528,6,0.28432,"5/29/2017",20170529,-0.5,69,0,69,276,19.61808,78.47232
"15","2017_H_02","28/5/17",20170528,7,0.19736,"5/29/2017",20170529,-0.5,62,0,62,248,12.23632,48.94528
"16","2017_H_02","28/5/17",20170528,8,0.24818,"5/29/2017",20170529,-0.5,80,0,80,320,19.8544,79.4176
"17","2017_H_03","25/6/17",20170625,1,0.67388,"6/25/2017",20170625,-0.5,45,2,47,188,31.67236,126.68944
"18","2017_H_03","25/6/17",20170625,2,0.43702,"6/25/2017",20170625,-0.5,74,1,75,300,32.7765,131.106
"19","2017_H_03","25/6/17",20170625,3,0.37614,"6/25/2017",20170625,-0.5,65,2,67,268,25.20138,100.80552
"20","2017_H_03","25/6/17",20170625,4,0.41606,"6/25/2017",20170625,-0.5,60,0,60,240,24.9636,99.8544
"21","2017_H_03","25/6/17",20170625,5,0.52976,"6/25/2017",20170625,-0.5,64,3,67,268,35.49392,141.97568
"22","2017_H_03","25/6/17",20170625,6,0.27116,"6/25/2017",20170625,-0.5,27,1,28,112,7.59248,30.36992
"23","2017_H_03","25/6/17",20170625,7,0.4081,"6/25/2017",20170625,-0.5,33,1,34,136,13.8754,55.5016
"24","2017_H_03","25/6/17",20170625,8,0.33372,"6/25/2017",20170625,-0.5,73,2,75,300,25.029,100.116
"25","2017_H_04","24/6/17",20170624,1,0.35592,"6/24/2017",20170624,-0.61,42,0,42,168,14.94864,59.79456
"26","2017_H_04","24/6/17",20170624,2,0.4251,"6/24/2017",20170624,-0.61,25,0,25,100,10.6275,42.51
"27","2017_H_04","24/6/17",20170624,3,0.24654,"6/24/2017",20170624,-0.61,35,0,35,140,8.6289,34.5156
"28","2017_H_04","24/6/17",20170624,4,0.27706,"6/24/2017",20170624,-0.61,53,0,53,212,14.68418,58.73672
"29","2017_H_04","24/6/17",20170624,5,0.36618,"6/24/2017",20170624,-0.61,62,0,62,248,22.70316,90.81264
"30","2017_H_04","24/6/17",20170624,6,0.48364,"6/24/2017",20170624,-0.61,43,0,43,172,20.79652,83.18608
"31","2017_H_04","24/6/17",20170624,7,0.6875,"6/24/2017",20170624,-0.61,43,0,43,172,29.5625,118.25
"32","2017_H_04","24/6/17",20170624,8,0.47066,"6/24/2017",20170624,-0.61,58,0,58,232,27.29828,109.19312
"33","2017_H_05","25/7/17",20170725,1,0.3638,"7/25/2017",20170725,-0.65,42,2,44,176,16.0072,64.0288
"34","2017_H_05","25/7/17",20170725,2,0.44418,"7/25/2017",20170725,-0.65,43,0,43,172,19.09974,76.39896
"35","2017_H_05","25/7/17",20170725,3,0.64218,"7/25/2017",20170725,-0.65,49,1,50,200,32.109,128.436
"36","2017_H_05","25/7/17",20170725,4,0.27662,"7/25/2017",20170725,-0.65,43,0,43,172,11.89466,47.57864
"37","2017_H_05","25/7/17",20170725,5,0.37644,"7/25/2017",20170725,-0.65,56,1,57,228,21.45708,85.82832
"38","2017_H_05","25/7/17",20170725,6,0.43064,"7/25/2017",20170725,-0.65,55,0,55,220,23.6852,94.7408
"39","2017_H_05","25/7/17",20170725,7,0.41396,"7/25/2017",20170725,-0.65,54,0,54,216,22.35384,89.41536
"40","2017_H_05","25/7/17",20170725,8,0.32668,"7/25/2017",20170725,-0.65,68,1,69,276,22.54092,90.16368
"41","2017_H_06","24/7/17",20170724,1,0.36472,"7/24/2017",20170724,-0.7,22,0,22,88,8.02384,32.09536
"42","2017_H_06","24/7/17",20170724,2,0.323,"7/24/2017",20170724,-0.7,43,0,43,172,13.889,55.556
"43","2017_H_06","24/7/17",20170724,3,0.48704,"7/24/2017",20170724,-0.7,82,1,83,332,40.42432,161.69728
"44","2017_H_06","24/7/17",20170724,4,0.39194,"7/24/2017",20170724,-0.7,25,0,25,100,9.7985,39.194
"45","2017_H_06","24/7/17",20170724,5,0.66456,"7/24/2017",20170724,-0.7,55,0,55,220,36.5508,146.2032
"46","2017_H_06","24/7/17",20170724,6,0.74522,"7/24/2017",20170724,-0.7,63,2,65,260,48.4393,193.7572
"47","2017_H_06","24/7/17",20170724,7,0.61526,"7/24/2017",20170724,-0.7,36,1,37,148,22.76462,91.05848
"48","2017_H_06","24/7/17",20170724,8,0.54618,"7/24/2017",20170724,-0.7,46,0,46,184,25.12428,100.49712
"49","2017_H_07","20/8/17",20170820,1,0.36362,"8/20/2017",20170820,-0.52,115,0,115,460,41.8163,167.2652
"50","2017_H_07","20/8/17",20170820,2,0.24778,"8/20/2017",20170820,-0.52,121,1,122,488,30.22916,120.91664
"51","2017_H_07","20/8/17",20170820,3,0.42476,"8/20/2017",20170820,-0.52,135,0,135,540,57.3426,229.3704
"52","2017_H_07","20/8/17",20170820,4,0.54056,"8/20/2017",20170820,-0.52,110,1,111,444,60.00216,240.00864
"53","2017_H_07","20/8/17",20170820,5,0.4245,"8/20/2017",20170820,-0.52,98,0,98,392,41.601,166.404
"54","2017_H_07","20/8/17",20170820,6,0.41632,"8/20/2017",20170820,-0.52,62,0,62,248,25.81184,103.24736
"55","2017_H_07","20/8/17",20170820,7,0.42562,"8/20/2017",20170820,-0.52,84,0,84,336,35.75208,143.00832
"56","2017_H_07","20/8/17",20170820,8,0.26092,"8/20/2017",20170820,-0.52,77,1,78,312,20.35176,81.40704
"57","2017_L_01","29/4/17",20170429,1,0.04106,"4/30/2017",20170430,-0.5,32,0,32,128,1.31392,5.25568
"58","2017_L_01","29/4/17",20170429,2,0.05082,"4/30/2017",20170430,-0.5,20,0,20,80,1.0164,4.0656
"59","2017_L_01","29/4/17",20170429,3,NA,"4/30/2017",20170430,-0.5,19,0,19,76,NA,NA
"60","2017_L_01","29/4/17",20170429,4,0.07044,"4/30/2017",20170430,-0.5,28,0,28,112,1.97232,7.88928
"61","2017_L_01","29/4/17",20170429,5,0.0506,"4/30/2017",20170430,-0.5,33,0,33,132,1.6698,6.6792
"62","2017_L_01","29/4/17",20170429,6,0.04576,"4/30/2017",20170430,-0.5,62,0,62,248,2.83712,11.34848
"63","2017_L_01","29/4/17",20170429,7,0.0498799999999999,"4/30/2017",20170430,-0.5,40,0,40,160,1.9952,7.98079999999999
"64","2017_L_01","29/4/17",20170429,8,0.03544,"4/30/2017",20170430,-0.5,53,0,53,212,1.87832,7.51328
"65","2017_L_02","29/4/17",20170429,1,0.15628,"5/27/2017",20170527,-0.5,69,1,70,280,10.9396,43.7584
"66","2017_L_02","29/4/17",20170429,2,0.11312,"5/27/2017",20170527,-0.5,63,0,63,252,7.12656,28.50624
"67","2017_L_02","29/4/17",20170429,3,0.12648,"5/27/2017",20170527,-0.5,80,0,80,320,10.1184,40.4736
"68","2017_L_02","29/4/17",20170429,4,0.0715200000000001,"5/27/2017",20170527,-0.5,66,0,66,264,4.72032,18.88128
"69","2017_L_02","29/4/17",20170429,5,0.10174,"5/27/2017",20170527,-0.5,33,0,33,132,3.35742,13.42968
"70","2017_L_02","29/4/17",20170429,6,0.08158,"5/27/2017",20170527,-0.5,53,0,53,212,4.32374,17.29496
"71","2017_L_02","29/4/17",20170429,7,0.19662,"5/27/2017",20170527,-0.5,33,0,33,132,6.48846,25.95384
"72","2017_L_02","29/4/17",20170429,8,0.08874,"5/27/2017",20170527,-0.5,67,0,67,268,5.94558,23.78232
"73","2017_L_03","25/5/17",20170525,1,0.29178,"5/26/2017",20170526,-0.5,10,0,10,40,2.9178,11.6712
"74","2017_L_03","25/5/17",20170525,2,0.1553,"5/26/2017",20170526,-0.5,21,0,21,84,3.2613,13.0452
"75","2017_L_03","25/5/17",20170525,3,0.12242,"5/26/2017",20170526,-0.5,25,0,25,100,3.0605,12.242
"76","2017_L_03","25/5/17",20170525,4,0.11378,"5/26/2017",20170526,-0.5,30,0,30,120,3.4134,13.6536
"77","2017_L_03","25/5/17",20170525,5,0.13354,"5/26/2017",20170526,-0.5,18,0,18,72,2.40372,9.61488
"78","2017_L_03","25/5/17",20170525,6,0.17684,"5/26/2017",20170526,-0.5,28,0,28,112,4.95152,19.80608
"79","2017_L_03","25/5/17",20170525,7,0.1623,"5/26/2017",20170526,-0.5,33,0,33,132,5.3559,21.4236
"80","2017_L_03","25/5/17",20170525,8,0.1331,"5/26/2017",20170526,-0.5,21,0,21,84,2.7951,11.1804
"81","2017_L_04","28/6/17",20170628,1,0.20014,"6/28/2017",20170628,-0.54,39,0,39,156,7.80546,31.22184
"82","2017_L_04","28/6/17",20170628,2,0.1687,"6/28/2017",20170628,-0.54,32,0,32,128,5.3984,21.5936
"83","2017_L_04","28/6/17",20170628,3,0.1545,"6/28/2017",20170628,-0.54,37,1,38,152,5.871,23.484
"84","2017_L_04","28/6/17",20170628,4,0.22074,"6/28/2017",20170628,-0.54,33,0,33,132,7.28442,29.13768
"85","2017_L_04","28/6/17",20170628,5,0.244,"6/28/2017",20170628,-0.54,47,1,48,192,11.712,46.848
"86","2017_L_04","28/6/17",20170628,6,0.22694,"6/28/2017",20170628,-0.54,37,3,40,160,9.0776,36.3104
"87","2017_L_04","28/6/17",20170628,7,0.22276,"6/28/2017",20170628,-0.54,60,0,60,240,13.3656,53.4624
"88","2017_L_04","28/6/17",20170628,8,0.27516,"6/28/2017",20170628,-0.54,56,0,56,224,15.40896,61.63584
"89","2017_L_05","27/6/17",20170627,1,0.12394,"6/27/2017",20170627,-0.76,63,1,64,256,7.93216,31.72864
"90","2017_L_05","27/6/17",20170627,2,0.1399,"6/27/2017",20170627,-0.76,62,0,62,248,8.67379999999999,34.6952
"91","2017_L_05","27/6/17",20170627,3,0.0720200000000001,"6/27/2017",20170627,-0.76,62,0,62,248,4.46524000000001,17.86096
"92","2017_L_05","27/6/17",20170627,4,0.15544,"6/27/2017",20170627,-0.76,37,0,37,148,5.75128,23.00512
"93","2017_L_05","27/6/17",20170627,5,0.21868,"6/27/2017",20170627,-0.76,50,0,50,200,10.934,43.736
"94","2017_L_05","27/6/17",20170627,6,0.13086,"6/27/2017",20170627,-0.76,55,0,55,220,7.1973,28.7892
"95","2017_L_05","27/6/17",20170627,7,0.21342,"6/27/2017",20170627,-0.76,61,0,61,244,13.01862,52.0744799999999
"96","2017_L_05","27/6/17",20170627,8,0.17626,"6/27/2017",20170627,-0.76,70,2,72,288,12.69072,50.76288
"97","2017_L_06","23/7/17",20170723,1,0.62896,"7/23/2017",20170723,-0.5,30,0,30,120,18.8688,75.4752
"98","2017_L_06","23/7/17",20170723,2,0.73164,"7/23/2017",20170723,-0.5,36,1,37,148,27.07068,108.28272
"99","2017_L_06","23/7/17",20170723,3,0.509,"7/23/2017",20170723,-0.5,55,0,55,220,27.995,111.98
"100","2017_L_06","23/7/17",20170723,4,0.65088,"7/23/2017",20170723,-0.5,20,0,20,80,13.0176,52.0704
"101","2017_L_06","23/7/17",20170723,5,0.49472,"7/23/2017",20170723,-0.5,54,0,54,216,26.71488,106.85952
"102","2017_L_06","23/7/17",20170723,6,0.60378,"7/23/2017",20170723,-0.5,82,0,82,328,49.50996,198.03984
"103","2017_L_06","23/7/17",20170723,7,0.29786,"7/23/2017",20170723,-0.5,56,0,56,224,16.68016,66.72064
"104","2017_L_06","23/7/17",20170723,8,0.45604,"7/23/2017",20170723,-0.5,30,0,30,120,13.6812,54.7248
"105","2017_L_07","22/7/17",20170722,1,0.21012,"7/22/2017",20170722,-0.5,62,0,62,248,13.02744,52.10976
"106","2017_L_07","22/7/17",20170722,2,0.12566,"7/22/2017",20170722,-0.5,75,2,77,308,9.67581999999999,38.70328
"107","2017_L_07","22/7/17",20170722,3,0.24162,"7/22/2017",20170722,-0.5,63,2,65,260,15.7053,62.8212
"108","2017_L_07","22/7/17",20170722,4,0.24396,"7/22/2017",20170722,-0.5,74,0,74,296,18.05304,72.21216
"109","2017_L_07","22/7/17",20170722,5,0.29826,"7/22/2017",20170722,-0.5,75,0,75,300,22.3695,89.478
"110","2017_L_07","22/7/17",20170722,6,0.19522,"7/22/2017",20170722,-0.5,78,0,78,312,15.22716,60.90864
"111","2017_L_07","22/7/17",20170722,7,0.12542,"7/22/2017",20170722,-0.5,79,3,82,328,10.28444,41.13776
"112","2017_L_07","22/7/17",20170722,8,0.08504,"7/22/2017",20170722,-0.5,44,2,46,184,3.91184,15.64736
"113","2017_M_02","24/5/17",20170524,1,0.14272,"5/24/2017",20170524,-0.5,82,0,82,328,11.70304,46.81216
"114","2017_M_02","24/5/17",20170524,2,0.16618,"5/24/2017",20170524,-0.5,89,0,89,356,14.79002,59.16008
"115","2017_M_02","24/5/17",20170524,3,0.2216,"5/24/2017",20170524,-0.5,66,0,66,264,14.6256,58.5024
"116","2017_M_02","24/5/17",20170524,4,0.27428,"5/24/2017",20170524,-0.5,94,0,94,376,25.78232,103.12928
"117","2017_M_02","24/5/17",20170524,5,0.1195,"5/24/2017",20170524,-0.5,108,0,108,432,12.906,51.624
"118","2017_M_02","24/5/17",20170524,6,0.10096,"5/24/2017",20170524,-0.5,124,0,124,496,12.51904,50.07616
"119","2017_M_02","24/5/17",20170524,7,0.51058,"5/24/2017",20170524,-0.5,82,0,82,328,41.86756,167.47024
"120","2017_M_02","24/5/17",20170524,8,0.07172,"5/24/2017",20170524,-0.5,93,0,93,372,6.66996,26.67984
"121","2017_M_03","25/5/17",20170525,1,0.15796,"5/25/2017",20170525,-0.5,67,5,72,288,11.37312,45.49248
"122","2017_M_03","25/5/17",20170525,2,0.18978,"5/25/2017",20170525,-0.5,78,2,80,320,15.1824,60.7296
"123","2017_M_03","25/5/17",20170525,3,0.18954,"5/25/2017",20170525,-0.5,58,0,58,232,10.99332,43.97328
"124","2017_M_03","25/5/17",20170525,4,0.1148,"5/25/2017",20170525,-0.5,61,0,61,244,7.0028,28.0112
"125","2017_M_03","25/5/17",20170525,5,0.1584,"5/25/2017",20170525,-0.5,49,0,49,196,7.7616,31.0464
"126","2017_M_03","25/5/17",20170525,6,0.14192,"5/25/2017",20170525,-0.5,63,0,63,252,8.94096,35.76384
"127","2017_M_03","25/5/17",20170525,7,0.19402,"5/25/2017",20170525,-0.5,78,0,78,312,15.13356,60.53424
"128","2017_M_03","25/5/17",20170525,8,0.0891400000000001,"5/25/2017",20170525,-0.5,77,2,79,316,7.04206000000001,28.16824
"129","2017_M_04","22/6/17",20170622,1,0.2068,"6/22/2017",20170622,-0.5,74,2,76,304,15.7168,62.8672
"130","2017_M_04","22/6/17",20170622,2,0.31052,"6/22/2017",20170622,-0.5,100,0,100,400,31.052,124.208
"131","2017_M_04","22/6/17",20170622,3,0.18446,"6/22/2017",20170622,-0.5,93,1,94,376,17.33924,69.35696
"132","2017_M_04","22/6/17",20170622,4,0.17664,"6/22/2017",20170622,-0.5,81,1,82,328,14.48448,57.9379199999999
"133","2017_M_04","22/6/17",20170622,5,NA,"6/22/2017",20170622,-0.5,110,0,110,440,NA,NA
"134","2017_M_04","22/6/17",20170622,6,0.18744,"6/22/2017",20170622,-0.5,120,0,120,480,22.4928,89.9712
"135","2017_M_04","22/6/17",20170622,7,0.2389,"6/22/2017",20170622,-0.5,122,2,124,496,29.6236,118.4944
"136","2017_M_04","22/6/17",20170622,8,NA,"6/22/2017",20170622,-0.5,62,0,62,248,NA,NA
"137","2017_M_05","23/6/17",20170623,1,0.23232,"6/23/2017",20170623,-0.5,70,2,72,288,16.72704,66.90816
"138","2017_M_05","23/6/17",20170623,2,0.13516,"6/23/2017",20170623,-0.5,56,1,57,228,7.70412,30.81648
"139","2017_M_05","23/6/17",20170623,3,0.23498,"6/23/2017",20170623,-0.5,66,1,67,268,15.74366,62.97464
"140","2017_M_05","23/6/17",20170623,4,0.1978,"6/23/2017",20170623,-0.5,54,1,55,220,10.879,43.516
"141","2017_M_05","23/6/17",20170623,5,NA,"6/23/2017",20170623,-0.5,82,0,82,328,NA,NA
"142","2017_M_05","23/6/17",20170623,6,0.1639,"6/23/2017",20170623,-0.5,84,0,84,336,13.7676,55.0704
"143","2017_M_05","23/6/17",20170623,7,0.18338,"6/23/2017",20170623,-0.5,70,0,70,280,12.8366,51.3464
"144","2017_M_05","23/6/17",20170623,8,0.25346,"6/23/2017",20170623,-0.5,50,1,51,204,12.92646,51.70584
"145","2017_M_06","21/8/17",20170821,1,0.38782,"8/21/2017",20170821,-0.61,88,3,91,364,35.29162,141.16648
"146","2017_M_06","21/8/17",20170821,2,0.4601,"8/21/2017",20170821,-0.61,111,2,113,452,51.9913,207.9652
"147","2017_M_06","21/8/17",20170821,3,0.29174,"8/21/2017",20170821,-0.61,104,0,104,416,30.34096,121.36384
"148","2017_M_06","21/8/17",20170821,4,0.3043,"8/21/2017",20170821,-0.61,156,0,156,624,47.4708,189.8832
"149","2017_M_06","21/8/17",20170821,5,0.1859,"8/21/2017",20170821,-0.61,124,1,125,500,23.2375,92.95
"150","2017_M_06","21/8/17",20170821,6,0.22212,"8/21/2017",20170821,-0.61,101,1,102,408,22.65624,90.6249599999999
"151","2017_M_06","21/8/17",20170821,7,0.25298,"8/21/2017",20170821,-0.61,160,0,160,640,40.4768,161.9072
"152","2017_M_06","21/8/17",20170821,8,0.32432,"8/21/2017",20170821,-0.61,98,0,98,392,31.78336,127.13344
"153","2017_M_07","26/7/17",20170726,1,0.10914,"7/26/2017",20170726,-0.59,44,0,44,176,4.80216,19.20864
"154","2017_M_07","26/7/17",20170726,2,0.35842,"7/26/2017",20170726,-0.59,83,0,83,332,29.74886,118.99544
"155","2017_M_07","26/7/17",20170726,3,0.19932,"7/26/2017",20170726,-0.59,48,0,48,192,9.56736,38.26944
"156","2017_M_07","26/7/17",20170726,4,0.272,"7/26/2017",20170726,-0.59,86,0,86,344,23.392,93.568
"157","2017_M_07","26/7/17",20170726,5,0.26624,"7/26/2017",20170726,-0.59,80,0,80,320,21.2992,85.1968
"158","2017_M_07","26/7/17",20170726,6,0.21682,"7/26/2017",20170726,-0.59,87,0,87,348,18.86334,75.4533600000001
"159","2017_M_07","26/7/17",20170726,7,0.2089,"7/26/2017",20170726,-0.59,66,0,66,264,13.7874,55.1496
"160","2017_M_07","26/7/17",20170726,8,0.3456,"7/26/2017",20170726,-0.59,72,0,72,288,24.8832,99.5328
"161","2017_M_08","22/8/17",20170822,1,0.16962,"8/22/2017",20170822,-0.76,25,1,26,104,4.41012,17.64048
"162","2017_M_08","22/8/17",20170822,2,0.19988,"8/22/2017",20170822,-0.76,120,0,120,480,23.9856,95.9424
"163","2017_M_08","22/8/17",20170822,3,0.23334,"8/22/2017",20170822,-0.76,112,0,112,448,26.13408,104.53632
"164","2017_M_08","22/8/17",20170822,4,0.13112,"8/22/2017",20170822,-0.76,84,0,84,336,11.01408,44.05632
"165","2017_M_08","22/8/17",20170822,5,0.11944,"8/22/2017",20170822,-0.76,55,0,55,220,6.5692,26.2768
"166","2017_M_08","22/8/17",20170822,6,0.23104,"8/22/2017",20170822,-0.76,91,0,91,364,21.02464,84.09856
"167","2017_M_08","22/8/17",20170822,7,0.18166,"8/22/2017",20170822,-0.76,83,0,83,332,15.07778,60.31112
"168","2017_M_08","22/8/17",20170822,8,0.1749,"8/22/2017",20170822,-0.76,99,0,99,396,17.3151,69.2604
